,result
1761,12.0
1762,2.0
1763,-3.0
1764,13.0
1765,10.0
1766,7.0
1767,-14.0
1768,-9.0
1769,9.0
1770,-18.0
1771,5.0
1772,6.0
1773,12.0
1774,-12.0
1775,26.0
1776,10.0
1777,3.0
1778,7.0
1779,-6.0
1780,-3.0
1781,28.0
1782,8.0
1783,-26.0
1784,-9.0
1785,21.0
1786,-2.0
1787,9.0
1788,1.0
1789,7.0
1790,15.0
1791,-4.0
1792,31.0
1793,19.0
1794,12.0
1795,8.0
1796,11.0
1797,-1.0
1798,-31.0
1799,5.0
1800,-3.0
1801,-9.0
1802,-9.0
1803,-13.0
1804,18.0
1805,-3.0
1806,-5.0
1807,8.0
1808,-3.0
1809,20.0
1810,-13.0
1811,13.0
1812,-8.0
1813,10.0
1814,-4.0
1815,12.0
1816,-11.0
1817,-10.0
1818,18.0
1819,14.0
1820,17.0
1821,-3.0
1822,-9.0
1823,-12.0
1824,30.0
1825,-16.0
1826,-6.0
1827,-10.0
1828,-12.0
1829,-12.0
1830,3.0
1831,6.0
1832,11.0
1833,-8.0
1834,15.0
1835,7.0
1836,-10.0
1837,29.0
1838,-6.0
1839,-11.0
1840,-25.0
1841,1.0
1842,-32.0
1843,-5.0
1844,16.0
1845,33.0
1846,6.0
1847,-10.0
1848,-9.0
1849,26.0
1850,42.0
1851,2.0
1852,1.0
1853,-6.0
1854,4.0
1855,-15.0
1856,11.0
1857,18.0
1858,-20.0
1859,26.0
1860,21.0
1861,-12.0
1862,-3.0
1863,23.0
1864,-7.0
1865,21.0
1866,4.0
1867,-16.0
1868,2.0
1869,13.0
1870,-11.0
1871,28.0
1872,22.0
1873,35.0
1874,6.0
1875,-6.0
1876,4.0
1877,45.0
1878,-68.0
1879,2.0
1880,1.0
1881,8.0
1882,9.0
1883,4.0
1884,-5.0
1885,-12.0
1886,15.0
1887,1.0
1888,11.0
1889,35.0
1890,31.0
1891,-14.0
1892,-28.0
1893,-1.0
1894,-1.0
1895,20.0
1896,-29.0
1897,2.0
1898,-18.0
1899,-4.0
1900,-9.0
1901,4.0
1902,36.0
1903,8.0
1904,-4.0
1905,-2.0
1906,7.0
1907,-30.0
1908,12.0
1909,-7.0
1910,12.0
1911,10.0
1912,-3.0
1913,18.0
1914,10.0
1915,2.0
1916,-15.0
1917,21.0
1918,36.0
1919,6.0
1920,10.0
1921,16.0
1922,1.0
1923,26.0
1924,3.0
1925,-16.0
1926,26.0
1927,-14.0
1928,11.0
1929,1.0
1930,-26.0
1931,7.0
1932,-4.0
1933,6.0
1934,20.0
1935,10.0
1936,13.0
1937,-11.0
1938,11.0
1939,-27.0
1940,22.0
1941,-14.0
1942,-11.0
1943,-4.0
1944,34.0
1945,14.0
1946,-3.0
1947,1.0
1948,6.0
1949,-7.0
1950,-4.0
1951,-5.0
1952,12.0
1953,15.0
1954,-3.0
1955,-8.0
1956,6.0
1957,3.0
1958,14.0
1959,11.0
1960,-7.0
1961,26.0
1962,-16.0
1963,-14.0
1964,3.0
1965,6.0
1966,25.0
1967,16.0
1968,3.0
1969,39.0
1970,17.0
1971,-4.0
1972,15.0
1973,8.0
1974,-7.0
1975,-11.0
1976,-13.0
1977,17.0
1978,-14.0
1979,16.0
1980,-5.0
1981,14.0
1982,7.0
1983,30.0
1984,8.0
1985,-7.0
1986,17.0
1987,-8.0
1988,-15.0
1989,-25.0
1990,-17.0
1991,20.0
1992,-29.0
1993,-10.0
1994,11.0
1995,6.0
1996,-10.0
1997,-29.0
1998,14.0
1999,-5.0
2000,25.0
2001,9.0
2002,12.0
2003,22.0
2004,-7.0
2005,-6.0
2006,34.0
2007,19.0
2008,7.0
2009,9.0
2010,-2.0
2011,-3.0
2012,2.0
2013,-10.0
